coverage_id,pool_id,peptide_id,plate_id,well_id
coverage_1,pool_1,peptide_3,1,A1
coverage_1,pool_1,peptide_6,1,A1
coverage_1,pool_1,peptide_13,1,A1
coverage_1,pool_1,peptide_19,1,A1
coverage_1,pool_1,peptide_22,1,A1
coverage_1,pool_2,peptide_1,1,A8
coverage_1,pool_2,peptide_11,1,A8
coverage_1,pool_2,peptide_18,1,A8
coverage_1,pool_2,peptide_20,1,A8
coverage_1,pool_2,peptide_21,1,A8
coverage_1,pool_3,peptide_5,1,A9
coverage_1,pool_3,peptide_8,1,A9
coverage_1,pool_3,peptide_10,1,A9
coverage_1,pool_3,peptide_14,1,A9
coverage_1,pool_3,peptide_24,1,A9
coverage_1,pool_4,peptide_2,1,A10
coverage_1,pool_4,peptide_4,1,A10
coverage_1,pool_4,peptide_15,1,A10
coverage_1,pool_4,peptide_17,1,A10
coverage_1,pool_4,peptide_23,1,A10
coverage_1,pool_5,peptide_7,1,A11
coverage_1,pool_5,peptide_9,1,A11
coverage_1,pool_5,peptide_12,1,A11
coverage_1,pool_5,peptide_16,1,A11
coverage_1,pool_5,peptide_25,1,A11
coverage_2,pool_6,peptide_7,1,A12
coverage_2,pool_6,peptide_10,1,A12
coverage_2,pool_6,peptide_11,1,A12
coverage_2,pool_6,peptide_13,1,A12
coverage_2,pool_6,peptide_17,1,A12
coverage_2,pool_7,peptide_1,1,B1
coverage_2,pool_7,peptide_6,1,B1
coverage_2,pool_7,peptide_8,1,B1
coverage_2,pool_7,peptide_23,1,B1
coverage_2,pool_7,peptide_25,1,B1
coverage_2,pool_8,peptide_3,1,B2
coverage_2,pool_8,peptide_4,1,B2
coverage_2,pool_8,peptide_5,1,B2
coverage_2,pool_8,peptide_16,1,B2
coverage_2,pool_8,peptide_21,1,B2
coverage_2,pool_9,peptide_9,1,B3
coverage_2,pool_9,peptide_15,1,B3
coverage_2,pool_9,peptide_18,1,B3
coverage_2,pool_9,peptide_22,1,B3
coverage_2,pool_9,peptide_24,1,B3
coverage_2,pool_10,peptide_2,1,A2
coverage_2,pool_10,peptide_12,1,A2
coverage_2,pool_10,peptide_14,1,A2
coverage_2,pool_10,peptide_19,1,A2
coverage_2,pool_10,peptide_20,1,A2
coverage_3,pool_11,peptide_3,1,A3
coverage_3,pool_11,peptide_8,1,A3
coverage_3,pool_11,peptide_9,1,A3
coverage_3,pool_11,peptide_17,1,A3
coverage_3,pool_11,peptide_20,1,A3
coverage_3,pool_12,peptide_5,1,A4
coverage_3,pool_12,peptide_11,1,A4
coverage_3,pool_12,peptide_15,1,A4
coverage_3,pool_12,peptide_19,1,A4
coverage_3,pool_12,peptide_25,1,A4
coverage_3,pool_13,peptide_1,1,A5
coverage_3,pool_13,peptide_4,1,A5
coverage_3,pool_13,peptide_12,1,A5
coverage_3,pool_13,peptide_13,1,A5
coverage_3,pool_13,peptide_24,1,A5
coverage_3,pool_14,peptide_2,1,A6
coverage_3,pool_14,peptide_6,1,A6
coverage_3,pool_14,peptide_10,1,A6
coverage_3,pool_14,peptide_16,1,A6
coverage_3,pool_14,peptide_18,1,A6
coverage_3,pool_15,peptide_7,1,A7
coverage_3,pool_15,peptide_14,1,A7
coverage_3,pool_15,peptide_21,1,A7
coverage_3,pool_15,peptide_22,1,A7
coverage_3,pool_15,peptide_23,1,A7
