coverage_id,pool_id,peptide_id,plate_id,well_id
coverage_1,pool_1,peptide_1,1,A1
coverage_1,pool_1,peptide_15,1,A1
coverage_1,pool_1,peptide_27,1,A1
coverage_1,pool_1,peptide_29,1,A1
coverage_1,pool_1,peptide_34,1,A1
coverage_1,pool_1,peptide_38,1,A1
coverage_1,pool_1,peptide_63,1,A1
coverage_1,pool_1,peptide_70,1,A1
coverage_1,pool_1,peptide_84,1,A1
coverage_1,pool_1,peptide_95,1,A1
coverage_1,pool_2,peptide_12,1,A12
coverage_1,pool_2,peptide_41,1,A12
coverage_1,pool_2,peptide_51,1,A12
coverage_1,pool_2,peptide_53,1,A12
coverage_1,pool_2,peptide_54,1,A12
coverage_1,pool_2,peptide_62,1,A12
coverage_1,pool_2,peptide_69,1,A12
coverage_1,pool_2,peptide_71,1,A12
coverage_1,pool_2,peptide_96,1,A12
coverage_1,pool_2,peptide_99,1,A12
coverage_1,pool_3,peptide_3,1,B2
coverage_1,pool_3,peptide_8,1,B2
coverage_1,pool_3,peptide_17,1,B2
coverage_1,pool_3,peptide_20,1,B2
coverage_1,pool_3,peptide_26,1,B2
coverage_1,pool_3,peptide_28,1,B2
coverage_1,pool_3,peptide_32,1,B2
coverage_1,pool_3,peptide_33,1,B2
coverage_1,pool_3,peptide_37,1,B2
coverage_1,pool_3,peptide_98,1,B2
coverage_1,pool_4,peptide_7,1,B3
coverage_1,pool_4,peptide_19,1,B3
coverage_1,pool_4,peptide_39,1,B3
coverage_1,pool_4,peptide_44,1,B3
coverage_1,pool_4,peptide_47,1,B3
coverage_1,pool_4,peptide_57,1,B3
coverage_1,pool_4,peptide_76,1,B3
coverage_1,pool_4,peptide_77,1,B3
coverage_1,pool_4,peptide_88,1,B3
coverage_1,pool_4,peptide_97,1,B3
coverage_1,pool_5,peptide_5,1,B4
coverage_1,pool_5,peptide_43,1,B4
coverage_1,pool_5,peptide_45,1,B4
coverage_1,pool_5,peptide_59,1,B4
coverage_1,pool_5,peptide_60,1,B4
coverage_1,pool_5,peptide_61,1,B4
coverage_1,pool_5,peptide_80,1,B4
coverage_1,pool_5,peptide_85,1,B4
coverage_1,pool_5,peptide_87,1,B4
coverage_1,pool_5,peptide_94,1,B4
coverage_1,pool_6,peptide_6,1,B5
coverage_1,pool_6,peptide_18,1,B5
coverage_1,pool_6,peptide_21,1,B5
coverage_1,pool_6,peptide_40,1,B5
coverage_1,pool_6,peptide_49,1,B5
coverage_1,pool_6,peptide_65,1,B5
coverage_1,pool_6,peptide_67,1,B5
coverage_1,pool_6,peptide_74,1,B5
coverage_1,pool_6,peptide_93,1,B5
coverage_1,pool_6,peptide_100,1,B5
coverage_1,pool_7,peptide_31,1,B6
coverage_1,pool_7,peptide_35,1,B6
coverage_1,pool_7,peptide_50,1,B6
coverage_1,pool_7,peptide_52,1,B6
coverage_1,pool_7,peptide_75,1,B6
coverage_1,pool_7,peptide_78,1,B6
coverage_1,pool_7,peptide_81,1,B6
coverage_1,pool_7,peptide_82,1,B6
coverage_1,pool_7,peptide_90,1,B6
coverage_1,pool_7,peptide_91,1,B6
coverage_1,pool_8,peptide_9,1,B7
coverage_1,pool_8,peptide_10,1,B7
coverage_1,pool_8,peptide_11,1,B7
coverage_1,pool_8,peptide_22,1,B7
coverage_1,pool_8,peptide_23,1,B7
coverage_1,pool_8,peptide_24,1,B7
coverage_1,pool_8,peptide_30,1,B7
coverage_1,pool_8,peptide_42,1,B7
coverage_1,pool_8,peptide_68,1,B7
coverage_1,pool_8,peptide_89,1,B7
coverage_1,pool_9,peptide_16,1,B8
coverage_1,pool_9,peptide_36,1,B8
coverage_1,pool_9,peptide_46,1,B8
coverage_1,pool_9,peptide_48,1,B8
coverage_1,pool_9,peptide_56,1,B8
coverage_1,pool_9,peptide_72,1,B8
coverage_1,pool_9,peptide_73,1,B8
coverage_1,pool_9,peptide_79,1,B8
coverage_1,pool_9,peptide_86,1,B8
coverage_1,pool_9,peptide_92,1,B8
coverage_1,pool_10,peptide_2,1,A2
coverage_1,pool_10,peptide_4,1,A2
coverage_1,pool_10,peptide_13,1,A2
coverage_1,pool_10,peptide_14,1,A2
coverage_1,pool_10,peptide_25,1,A2
coverage_1,pool_10,peptide_55,1,A2
coverage_1,pool_10,peptide_58,1,A2
coverage_1,pool_10,peptide_64,1,A2
coverage_1,pool_10,peptide_66,1,A2
coverage_1,pool_10,peptide_83,1,A2
coverage_2,pool_11,peptide_2,1,A3
coverage_2,pool_11,peptide_22,1,A3
coverage_2,pool_11,peptide_27,1,A3
coverage_2,pool_11,peptide_32,1,A3
coverage_2,pool_11,peptide_61,1,A3
coverage_2,pool_11,peptide_73,1,A3
coverage_2,pool_11,peptide_74,1,A3
coverage_2,pool_11,peptide_75,1,A3
coverage_2,pool_11,peptide_76,1,A3
coverage_2,pool_11,peptide_96,1,A3
coverage_2,pool_12,peptide_3,1,A4
coverage_2,pool_12,peptide_5,1,A4
coverage_2,pool_12,peptide_10,1,A4
coverage_2,pool_12,peptide_18,1,A4
coverage_2,pool_12,peptide_19,1,A4
coverage_2,pool_12,peptide_56,1,A4
coverage_2,pool_12,peptide_62,1,A4
coverage_2,pool_12,peptide_63,1,A4
coverage_2,pool_12,peptide_64,1,A4
coverage_2,pool_12,peptide_78,1,A4
coverage_2,pool_13,peptide_4,1,A5
coverage_2,pool_13,peptide_8,1,A5
coverage_2,pool_13,peptide_36,1,A5
coverage_2,pool_13,peptide_41,1,A5
coverage_2,pool_13,peptide_84,1,A5
coverage_2,pool_13,peptide_87,1,A5
coverage_2,pool_13,peptide_88,1,A5
coverage_2,pool_13,peptide_89,1,A5
coverage_2,pool_13,peptide_90,1,A5
coverage_2,pool_13,peptide_93,1,A5
coverage_2,pool_14,peptide_6,1,A6
coverage_2,pool_14,peptide_7,1,A6
coverage_2,pool_14,peptide_20,1,A6
coverage_2,pool_14,peptide_23,1,A6
coverage_2,pool_14,peptide_31,1,A6
coverage_2,pool_14,peptide_34,1,A6
coverage_2,pool_14,peptide_54,1,A6
coverage_2,pool_14,peptide_58,1,A6
coverage_2,pool_14,peptide_80,1,A6
coverage_2,pool_14,peptide_86,1,A6
coverage_2,pool_15,peptide_24,1,A7
coverage_2,pool_15,peptide_33,1,A7
coverage_2,pool_15,peptide_47,1,A7
coverage_2,pool_15,peptide_49,1,A7
coverage_2,pool_15,peptide_53,1,A7
coverage_2,pool_15,peptide_55,1,A7
coverage_2,pool_15,peptide_60,1,A7
coverage_2,pool_15,peptide_79,1,A7
coverage_2,pool_15,peptide_81,1,A7
coverage_2,pool_15,peptide_95,1,A7
coverage_2,pool_16,peptide_59,1,A8
coverage_2,pool_16,peptide_67,1,A8
coverage_2,pool_16,peptide_68,1,A8
coverage_2,pool_16,peptide_69,1,A8
coverage_2,pool_16,peptide_70,1,A8
coverage_2,pool_16,peptide_72,1,A8
coverage_2,pool_16,peptide_82,1,A8
coverage_2,pool_16,peptide_83,1,A8
coverage_2,pool_16,peptide_97,1,A8
coverage_2,pool_16,peptide_98,1,A8
coverage_2,pool_17,peptide_11,1,A9
coverage_2,pool_17,peptide_12,1,A9
coverage_2,pool_17,peptide_13,1,A9
coverage_2,pool_17,peptide_15,1,A9
coverage_2,pool_17,peptide_16,1,A9
coverage_2,pool_17,peptide_21,1,A9
coverage_2,pool_17,peptide_37,1,A9
coverage_2,pool_17,peptide_45,1,A9
coverage_2,pool_17,peptide_52,1,A9
coverage_2,pool_17,peptide_57,1,A9
coverage_2,pool_18,peptide_9,1,A10
coverage_2,pool_18,peptide_14,1,A10
